"ISO3","ISO2","year","co2","population","gdp","gdp_per_capita","co2_per_capita","region"
"KIR","KI",1972,25648,59606,139.912,2347.28047511995,0.430292252457806,"Asia and Oceania"
"KWT","KW",1972,27611900,913785,62355.703,68238.9216281729,30.2170641890598,"Asia and Oceania"
"LAO","LA",1972,487310,2808290,1137.942,405.208151579787,0.1735255262099,"Asia and Oceania"
"LBN","LB",1972,5653400,2505965,26326.102,10505.3749753089,2.25597723830939,"Asia and Oceania"
"LBR","LR",1972,1505500,1540995,1636.852,1062.20461455099,0.976966180941535,"Africa"
"LBY","LY",1972,15220000,2012796,31196.48,15499.0769059557,7.56162075043869,"Africa"
"LIE","LI",1972,107520,21873,1692.043,77357.6098386138,4.9156494308051,"Europe"
"LUX","LU",1972,13493200,346079,13177.194,38075.6821419387,38.9887857974624,"Europe"
"MAC","MO",1972,230830,248669,2784.219,11196.4860919536,0.928262067246018,"Asia and Oceania"
"MDG","MG",1972,1285800,7051090,5684.684,806.213507415166,0.18235478486305,"Africa"
"MWI","MW",1972,545570,4865978,1427.411,293.345140483578,0.112119290305053,"Africa"
"MYS","MY",1972,17900600,10801619,22942.347,2123.97298960461,1.65721453422862,"Asia and Oceania"
"MDV","MV",1972,3664,130990,209.139,1596.60279410642,0.0279716008855638,"Asia and Oceania"
"MLI","ML",1972,245490,6347158,642.643,101.248936925786,0.0386771528296601,"Africa"
"MLT","MT",1972,839060,315373,1152.898,3655.66487936507,2.66053213179315,"Europe"
"MRT","MR",1972,447010,1191376,1859.306,1560.63744779146,0.375204805200038,"Africa"
"MUS","MU",1972,688830,854036,1435.077,1680.34719847875,0.806558505730438,"Africa"
"MEX","MX",1972,132271300,53543436,329513.18,6154.12839773675,2.47035509637446,"America"
"MNG","MN",1972,3275900,1363835,1424.535,1044.50685016883,2.4019767787159,"Asia and Oceania"
"MSR","MS",1972,14656,11444,67.286,5879.58755679832,1.28067109402307,"America"
"MAR","MA",1972,8027600,16081438,17103.107,1063.53094791647,0.499184214744975,"Africa"
"MOZ","MZ",1972,3295700,8860585,2207.695,249.159056653709,0.371950610484522,"Africa"
"MMR","MM",1972,4894300,28551949,4352.343,152.435933532944,0.171417369791463,"Asia and Oceania"
"NRU","NR",1972,76944,6883,186.746,27131.4833648119,11.1788464332413,"Asia and Oceania"
"NPL","NP",1972,267470,13052220,3639.113,278.811803662519,0.0204922993942793,"Asia and Oceania"
"NCL","NC",1972,1703800,120866,2660.714,22013.7507653103,14.0966028494366,"Asia and Oceania"
"NZL","NZ",1972,16189600,2920878,64816.882,22190.8898625687,5.54271695017731,"Asia and Oceania"
"NIC","NI",1972,1604400,2603182,6234.806,2395.07110912721,0.616322638985672,"America"
"NER","NE",1972,252010,4926318,3610.479,732.896049341516,0.0511558531138266,"Africa"
"NGA","NG",1972,41387600,58173834,106593.832,1832.33293511306,0.711447005538607,"Africa"
"NOR","NO",1972,29395100,3933047,115337.894,29325.3281743137,7.47387458120892,"Europe"
"OMN","OM",1972,2088500,708045,4528.601,6395.92257554252,2.9496712779555,"Asia and Oceania"
"PAK","PK",1972,18903000,62509565,35025.078,560.315497316291,0.302401720440704,"Asia and Oceania"
"PNG","PG",1972,1267700,2610700,6112.432,2341.30003447351,0.485578580457349,"Asia and Oceania"
"PRY","PY",1972,713760,2521508,5389.8,2137.53039847583,0.283068703331498,"America"
"PER","PE",1972,18148000,14292437,49746.639,3480.62678184273,1.26976246248278,"America"
"PHL","PH",1972,26409400,39412479,56377.308,1430.44308377557,0.670077109333823,"Asia and Oceania"
"POL","PL",1972,329506400,32979398,143089.586,4338.75675959883,9.99128001062967,"Europe"
"PRT","PT",1972,18307300,8833266,76541.543,8665.14639092721,2.07254032653381,"Europe"
"QAT","QA",1972,10775400,148338,11071.605,74637.68555596,72.6408607369656,"Asia and Oceania"
"ROU","RO",1972,132207900,20382169,54984.106,2697.65725129646,6.48644901335084,"Europe"
"RWA","RW",1972,65952,4135579,1076.672,260.343714870397,0.015947464671815,"Africa"
"LCA","LC",1972,76944,106457,380.519,3574.3915383676,0.722770696149619,"America"
"VCT","VC",1972,36640,100843,245.527,2434.74509881697,0.36333706851244,"America"
"WSM","WS",1972,36640,147332,381.862,2591.84698504059,0.248690033393967,"Asia and Oceania"
"STP","ST",1972,10992,80835,91.186,1128.05096802128,0.135980701428837,"Africa"
"SAU","SA",1972,70281700,6724260,185061.961,27521.5356039178,10.4519605131271,"Asia and Oceania"
"SEN","SN",1972,1453200,4633452,5118.226,1104.62480241513,0.313632255173896,"Africa"
"SYC","SC",1972,43968,57052,224.631,3937.30281147024,0.770665357919091,"Africa"
"SLE","SL",1972,677840,2886642,2059.636,713.50586598546,0.234819558504311,"Africa"
"SGP","SG",1972,21720200,2131565,18490.426,8674.57759908799,10.1897901307255,"Asia and Oceania"
"SLB","SB",1972,54960,181876,192.515,1058.49589830434,0.302183905518045,"Asia and Oceania"
"SOM","SO",1972,234500,3918220,1266.12,323.13652627979,0.0598486047235735,"Africa"
"ZAF","ZA",1972,171553600,23698507,111878.965,4720.92883319612,7.23900454994908,"Africa"
"ESP","ES",1972,144716300,34515170,437488.527,12675.2534320416,4.19283173167045,"Europe"
"LKA","LK",1972,3537900,12914457,9819.584,760.355932889784,0.273948800170228,"Asia and Oceania"
"SUR","SR",1972,1743800,397529,1985.108,4993.6180756624,4.38659821044502,"America"
"SWZ","SZ",1972,381060,467512,505.032,1080.25462448023,0.815080682420986,"Africa"
"SWE","SE",1972,84703200,8117716,202534.93,24949.7432529051,10.4343635574341,"Europe"
"SYR","SY",1972,7756300,6768544,6985.747,1032.09006250089,1.14593330559719,"Asia and Oceania"
"TWN","TW",1972,35871500,15617414,34899.028,2234.62271026432,2.29689114984081,"Asia and Oceania"
"THA","TH",1972,21759500,37834384,37914.417,1002.11535094638,0.575124997409764,"Asia and Oceania"
